model,base,hard,v1,v2,v3,v4_contra,v4_dbl_neg,v4_impl,v4_morgan,v4_ident,v4_comm,v4_multi,base_lo,hard_lo,v1_lo,v2_lo,v3_lo,v4_contra_lo,v4_dbl_neg_lo,v4_impl_lo,v4_morgan_lo,v4_ident_lo,v4_comm_lo,v4_multi_lo,base_hi,hard_hi,v1_hi,v2_hi,v3_hi,v4_contra_hi,v4_dbl_neg_hi,v4_impl_hi,v4_morgan_hi,v4_ident_hi,v4_comm_hi,v4_multi_hi
bert,0.9325,0.80685,0.25,0.87925,0.921,0.44675,0.0395,1.0,0.278,0.4895,0.45375,0.90975,0.9225,0.80135,0.2365,0.86925,0.9125,0.43125,0.0335,1.0,0.26425,0.474,0.43875,0.90075,0.9425,0.8123,0.26325,0.8895,0.92925,0.462,0.04575,1.0,0.2915,0.50475,0.46925,0.9185
llama,1.0,1.0,0.98375,0.9765,0.50475,0.95175,1.0,0.94525,0.8865,1.0,0.9785,0.7735,1.0,1.0,0.97975,0.9715,0.4895,0.945,1.0,0.938,0.8765,1.0,0.974,0.76075,1.0,1.0,0.98775,0.98075,0.52025,0.95825,1.0,0.952,0.89625,1.0,0.983,0.78625
qwen,1.0,1.0,0.999,1.0,1.0,0.86675,0.515,0.85,0.32675,1.0,0.99325,0.63525,1.0,1.0,0.998,1.0,1.0,0.856,0.4995,0.83875,0.31275,1.0,0.9905,0.6205,1.0,1.0,0.99975,1.0,1.0,0.87725,0.53075,0.861,0.34125,1.0,0.99575,0.65
qwen3,0.3325,0.3579,0.0315,0.46025,0.656,0.0,0.0125,0.02625,0.0075,0.01575,0.03225,0.0055,0.31333333333333335,0.3512,0.02625,0.4445,0.6415,0.0,0.00925,0.0215,0.005,0.012,0.027,0.00325,0.35208333333333336,0.3647,0.03675,0.4755,0.6705,0.0,0.016,0.03125,0.01025,0.01975,0.038,0.008
qwen3_lire,0.5491666666666667,0.65,1.0,0.503,0.34375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.52875,0.6433,1.0,0.48775,0.329,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5695833333333333,0.6565,1.0,0.518,0.3585,1.0,1.0,1.0,1.0,1.0,1.0,1.0
qwen3_rlvf,0.5571153846153846,0.6736666666666666,0.94575,0.56175,0.373125,0.991875,0.97,0.825875,0.985375,0.96375,0.938375,0.982625,0.5438461538461539,0.6677916666666667,0.940625,0.55075,0.3625,0.989875,0.966375,0.817375,0.982625,0.959625,0.93325,0.97975,0.5703846153846154,0.6797083333333334,0.95075,0.572875,0.383875,0.99375,0.97375,0.83425,0.988,0.967875,0.943625,0.9855
qwen_lire,0.8116666666666666,0.7792,1.0,0.59,0.34375,1.0,1.0,1.0,1.0,1.0,1.0,0.99325,0.7958333333333333,0.77345,1.0,0.5745,0.3295,1.0,1.0,1.0,1.0,1.0,1.0,0.99075,0.8266666666666667,0.7849,1.0,0.60525,0.35875,1.0,1.0,1.0,1.0,1.0,1.0,0.99575
qwen_rlvf,0.6132692307692308,0.48954166666666665,0.232375,0.522875,0.694125,0.26125,0.2415,0.243875,0.200875,0.26175,0.31425,0.17075,0.6003846153846154,0.48325,0.222875,0.512,0.68425,0.251625,0.232,0.234375,0.19225,0.252,0.303875,0.1625,0.6263461538461539,0.4959166666666667,0.241625,0.533875,0.704375,0.271,0.251,0.253375,0.20975,0.27175,0.324625,0.179125
qwen_stage2_cot,0.4920833333333333,,0.1425,0.5285,0.5745,0.16975,0.0765,0.2185,0.0425,0.03725,0.10525,0.09775,0.47208333333333335,,0.13175,0.51325,0.55925,0.15825,0.0685,0.20575,0.03625,0.0315,0.09575,0.08875,0.5116666666666667,,0.1535,0.54425,0.58925,0.181,0.085,0.2315,0.04875,0.04325,0.115,0.1065
